label,value
good,0.062164249315662445
good,0.0775958759826858
good,-0.0068714198250172664
good,-0.006785711719909049
good,0.09127139075228574
good,0.08606563694698233
good,0.06816850140350983
good,0.005913242457445733
good,0.01692874342438644
good,-0.005599999761450758
good,0.08504095339769724
good,0.11035375227897193
good,0.0326629103680669
good,-0.09132469346019623
good,0.07121777898916659
poor,0.008020694866785583
poor,0.015073132117662813
poor,0.048207227110476425
poor,0.03206634186680313
poor,-0.021909757014811237
poor,0.012432076941487402
poor,0.07654007536085472
poor,-0.019484458404305016
poor,-0.04866346162318824
poor,-0.04729298074470123
poor,-0.06555293534610918
poor,0.006689893583759821
poor,-0.022231042819114366
poor,0.05811736503654763
poor,0.06322268816322252
poor,-0.01583988498817046
poor,0.013611381324504013
poor,0.08394453309349648
poor,0.004268225059824715
poor,0.034806861385163756
